,name,doi,doi_link
126,AGONAM,10.1021/cg8002614,http://dx.doi.org/10.1021/cg8002614
127,AGONEQ,10.1021/cg8002614,http://dx.doi.org/10.1021/cg8002614
128,AGOVOJ,10.1038/ncomms3344,http://dx.doi.org/10.1038/ncomms3344
129,AGUTUS,10.1002/zaac.200900121,http://dx.doi.org/10.1002/zaac.200900121
130,AGUVOO_charged,10.1002/zaac.200900121,http://dx.doi.org/10.1002/zaac.200900121
131,AGUWUV,,
132,AHAMAY,,
133,AHEBAS,,
134,AHEQAH,,
135,AHINIP,,
136,AHOBEG,,
137,AHOJUC,,
138,AHOKAJ,,
139,AHOKIR,,
140,AHOKIR01,,
141,AHOKOX,,
142,AHUTIH,,
143,AHUTIH01,,
144,AJAKON,,
145,AJAMEF,,
146,AJAYIT,,
147,AJIGIL,,
148,AJINOY,,
149,AJOTEY,,
150,AJOVEB,,
151,AJOXAA,,
152,AJUNOK,,
153,AKEDIF,,
154,AKOBAF,,
155,AKOHEO,,
156,AKUHOD,,
157,AKUHOD01,,
158,AKUKUO,,
159,ALAHUS,,
160,ALALUU,,
161,ALALUU01,,
162,ALAMUW,,
163,ALANAD,,
164,ALATAK,,
165,ALEJAE,,
166,ALEJEI,,
167,ALEJIM,,
168,ALEQIT,,
169,ALIBUT,,
170,ALICAA,,
171,ALIFUY,,
172,ALIPEQ,,
173,ALIXAU_h,,
174,ALIXOJ,,
175,ALIXUP,,
176,ALOLES_ion_b,,
177,ALOLET_charged,,
178,ALOLIX_charged,,
179,ALOLIY,,
180,ALOLOD_charged,,
181,ALONEV,,
182,ALUJEX,,
183,ALUJIB,,
184,ALUJOH,,
185,ALUJUN,,
186,ALUKAU,,
187,ALUKIC,,
188,ALUKOI,,
189,ALUKUO,,
190,ALULAV,,
191,ALULEZ,,
192,ALULID,,
193,ALURAB,,
194,ALUREF,,
195,ALURIJ,,
196,AMAFOK,,
197,AMAGAX,,
198,AMALND,,
199,AMEJOS_charged,,
200,AMIKOX,,
201,AMILOY,,
202,AMILUE,,
203,AMIMAL,,
204,AMIMEP,,
205,AMIWID,,
206,AMIWOJ,,
207,AMIWUP,,
208,AMIXAW,,
209,AMIXEA,,
210,AMODUC,,
211,AMOFAK,,
212,AMOYOR,,
213,AMOZAE,,
214,AMUFAR,,
215,AMUFEV,,
216,AMUFIZ,,
217,AMUFOF,,
218,AMUPOP,,
219,AMUWIP_charged,,
220,AMUWUB,,
221,AMUXAI,,
222,ANAWIX,,
223,ANAWOD,,
224,ANEHEI,,
225,ANENEN,,
226,ANENIR,,
227,ANEPIT,,
228,ANIDIL,,
229,ANOMUM,,
230,ANONAT_manual,,
231,ANUGEW,,
232,ANUGIA,,
233,ANUGOG,,
234,APACAX,,
235,APARAM,,
236,APAYIB,,
237,APAYOH,,
238,APAYUN,,
239,APAZAU,,
240,APAZEY,,
241,APAZIC,,
242,APAZOI,,
243,APEBED,,
244,APEBEE,,
245,APEBUU,,
246,APETAS,,
247,APUPEH,,
248,AQAJEI,,
249,AQALIO,,
250,AQALOU,,
251,AQEFUY,,
252,AQEQES,,
253,AQEQIW,,
254,AQETIA,,
255,AQETUM,,
256,AQIQAU,,
257,AQIXUV,,
258,AQMAND,,
259,AQMAND01,,
260,AQODOA,,
261,AQOLEZ,,
262,AQOLID,,
263,AQOLUP,,
264,AQOMAW,,
265,AQOMEA,,
266,AQOMEA01,,
267,AQOSEG,,
268,AQUCOF,,
269,AQUCOG,,
270,AQUCUM,,
271,AQUDAS,,
